tiktoker name,tiktok name,followers,views(avg.),likes(avg.),comments(avg.),shares(avg.)
fredziownik_art,franek bielak,11.8m,6.3m,781.9k,6.5k,1.2k
vibin.wit.tay,tay,3.3m,3.3m,689.4k,4k,12.6k
cedriklorenzen,cedrik lorenzen,2.1m,4m,457k,7.9k,12.4k
vanessalopesr,vanessa lopes,21.3m,5.9m,637.1k,6.4k,2.9k
rustam_mayer_djavid,rustam mayer,4.3m,7.8m,390.8k,1.6k,9.7k
soojinicoreana,chingu amiga,17.3m,6.5m,1m,3.9k,1.4k
jinisprotips,💡 jini 💡,713.7k,3.7m,467.6k,6.9k,12.9k
esen_alva,esen,3.1m,3.3m,536.3k,3.3k,15.5k
drew.nori,drew nori,4.7m,8.1m,387.9k,9.7k,733
wuesilva,wue silva,11.8m,4.5m,584k,10.6k,1.8k
thallyssonsb,thallysson borges,8.5m,3.6m,629k,6k,8.2k
natemyburgh,nate,306.4k,3.4m,724.9k,3.6k,9k
soso_aroundtheworld,sosonebieridze,109.8k,3m,420k,10.8k,13.2k
newboyjosh,newboyjosh,340.5k,4m,445k,6.4k,10.4k
initiaraandini,tiara andini,4.1m,7.4m,651.6k,4.4k,1.8k
iamkevingates,kevin gates,2.1m,3.5m,413.6k,9.4k,11.3k
max7424453118,max taylor,2.8m,3.5m,572.6k,5.2k,9.5k
danya_milokhin,danya_milokhin,16.5m,6.3m,733.2k,4.6k,1.7k
samanthalogan,samantha logan,1.8m,6m,840.9k,3k,2.8k
jakekrantz1,jake krantz,2.1m,3.6m,772.3k,3.2k,7.1k
fujiiian,fuji,12.7m,6.2m,760.4k,3.4k,2.6k
vincentmarcus,vincentmarcus,2.5m,10.7m,250.4k,2.3k,8.2k
hongthanhofficial,hongthanhofficial,1.3m,7.7m,675.6k,2.7k,2.7k
kervo.dolo,kervo.dolo,7.5m,3.9m,606.4k,4.4k,7.1k
zachjustice,zach justice,3.9m,6m,793.7k,1k,4.6k
qamar_altaey,𓆩𝑄𝐴𝑀𝐴𝑅¹⁶𓆪,2.8m,3.6m,348k,10.2k,10.8k
fortnitekanal.exe,fortnitekanal.exe,1.4m,2.2m,539.4k,14k,7.8k
m.wardy_14,وردى,67.6k,1.9m,465.5k,3.8k,24.8k
ynchq,яn,3.7m,3.9m,645.1k,4.1k,5.8k
nilered,nilered,8.7m,4m,725.8k,5.4k,3.2k
besttoks,besttoks,2.2m,17.4m,451.6k,1.1k,2.1k
miketoks,miketoks,11.6m,6.2m,599.7k,2.5k,4k
tiktokmena,tiktok mena,5.7m,39.5m,179.2k,1.2k,2.2k
eyavanana,eya,10.8m,4.6m,725.3k,5k,2.1k
john.leitao,john leitão,2.7m,4.3m,380.9k,7.8k,6.4k
brunodiferente2022,bruno diferente,4m,6.6m,116.7k,6k,22.4k
sugarcoatedsisters,tabby and chloe,320.3k,3.2m,523.8k,2.6k,10.5k
hesfinatia,pinat🍅|| ig: @hesfinatia,8.3m,8.6m,936.9k,1.8k,837
vadik_dikiy,vadik_dikiy,914.8k,3.2m,489.1k,2k,11.8k
championsleague,champions league,11.6m,3.6m,628.3k,4.2k,5.1k
esnyrrr,esnyr ranollo,4.4m,3.5m,645.3k,4.5k,4.8k
savanahmosss,savanah moss,9.3m,4.5m,703k,4.1k,2.5k
dindahw14,dinda hauw,3m,7.9m,689.2k,2k,1.8k
joshiiwuhhh,joshua alden,3.2m,2.9m,555.5k,3.7k,8.8k
j3ipy_,jeipy,7.8m,4.3m,760.7k,3.3k,2.8k
morganpresleyxo,morgan presley,5.3m,4.8m,638.5k,3.1k,3.5k
skaijackson,skai jackson 🥰,19.7m,5.2m,824k,3.1k,1.5k
ssmaaaryy,razi monroe,6.8m,6.4m,586.3k,2.8k,2.4k
vhackerr,vinnie,13.9m,2.9m,593.7k,7.8k,3.6k
tranvantre992,trần tre vlogs 🐉,759.3k,9.1m,472.9k,3.7k,799
jwaltonnn,ᴊ⚡️,733.4k,1.7m,369.4k,28k,2.5k
kubenjoy,kubenjoy,3.5m,4.2m,476.3k,5k,4.5k
jdiasss_,joão dias,7m,3.5m,817k,4.5k,2k
evcnoble,everett noble,9.8m,3.4m,844.5k,3.2k,3.4k
victormelo,victor melo,19.4m,4.6m,642.2k,3.8k,2.4k
emilen_im,эмильен,4m,5.3m,663.1k,4k,1.2k
ehlija,eh lija,3.3m,4m,506k,4.7k,4.3k
thoriqhal,thariqhalilintar,3.8m,5.8m,662k,2.4k,2.2k
afgsuga,afg suga official,161.7k,3.3m,490.3k,4.1k,6.8k
jen_wolff,jenny,187.6k,2.9m,371.6k,5.7k,10.5k
tubbynugget,tubby nugget,3.5m,2.6m,518.2k,2.1k,10.8k
rescuerestore,rescue & restore,1.5m,9.2m,430k,1.5k,2.9k
baddest4bitches,edda,1.5m,2.5m,580.2k,8.5k,3.4k
_itsstefano_,it'sstefano,4.4m,4.6m,553.8k,5.8k,856
guryan_off,гурьянов максим,2.6m,3.3m,479.5k,3.1k,7.7k
thebenjishow,benji,5.5m,3.4m,549.6k,3.8k,5.2k
mikaelatesta,mikaela testa,1.7m,4.3m,960.3k,3.3k,749
grillervm,grillervm,2.9m,4.3m,549.3k,2.9k,4k
riaricis,ria ricis,25.5m,5.5m,665.1k,2.2k,2.1k
lizzza,liza koshy,29.4m,5.2m,1.2m,1.9k,616
elmarianaa,elmariana,6.5m,3.8m,834.8k,1.6k,3.3k
somi_official_,jeon somi,6.1m,3m,746.3k,4.6k,2.3k
craggygames,craggy games,306.8k,7m,189.3k,726,10.9k
gritside,gritside,3.6m,3.5m,446.4k,1.5k,8.3k
charlieputh,charlie puth,16.1m,3.5m,509.1k,5.8k,2.6k
spencer_serafica,xspencer,12.3m,4m,663.2k,4.1k,1.6k
mikaylahau,mikaylah,4.2m,3m,386.4k,9.9k,3.2k
kevinprieto077,kevinprieto077,1.8m,3.8m,589.3k,3.4k,3.1k
christianfabiannn,christian fabián d.,12m,4.8m,733.2k,3.7k,398
brotherofcolor,heyimparis,12.7m,5m,609.5k,3.6k,1.1k
gavrilinaa,юлька шпулька🕷🕸,16.3m,3.9m,522.2k,4k,3k
phun.anh,phùn anh,2.7m,6.8m,374.2k,3.8k,1.7k
tooturnttony,tooturnttony,15.6m,5.4m,464.6k,2.8k,2.8k
baimwong,baim wong,7.5m,5.1m,392.4k,3.7k,3.3k
maxtaylorlifts,max taylor,7.6m,3m,529k,4.4k,4.5k
kimberly11sofia,✨kimberly11sofia✨,576.6k,1.9m,208k,27k,7.8k
lourdasprec,lourd,8.7m,2.4m,592.1k,5.3k,4.3k
katiavlogss,katiavlogs🐒,13.8m,4.6m,638.2k,3.5k,1.1k
itslennnie,lennnie,1.9m,1.9m,319.2k,2.4k,20k
couragejd,jack courage dunlop,3.1m,3.4m,391.5k,2.9k,7.1k
karimmahmoudabdelaziz,karim mahmoud abdel aziz,3.4m,5.3m,375.6k,2.5k,4.1k
jbdjebb,jean-baptiste djebbari,1.1m,2.9m,448.6k,6.2k,3.8k
dailymug69,it’s a sad story...,4.2m,4.1m,544.2k,5.6k,251
superfirsthero,суперпервыйгерой,1.6m,2.8m,526.1k,4.4k,4.5k
cookingwithlynja,lynja,9.9m,5.2m,649k,2.5k,1.4k
gordonramsayofficial,gordon ramsay,31.7m,5.7m,557.2k,3.2k,835
