name,followers,engagement_avg,platform
433,485000000,0.007898969072164948,Instagram
__youngbae__,127000000,0.003763779527559055,Instagram
_agentgirl_,188000000,0.016531914893617022,Instagram
_imyour_joy,135000000,0.08148148148148149,Instagram
_jeongjaehyun,111000000,0.22522522522522523,Instagram
_mariahwasa,79000000,0.11583544303797469,Instagram
_rl9,25000000,0.23544,Instagram
_seorina,3000000,2.679666666666667,Instagram
_shotaroo_,49000000,0.17553061224489797,Instagram
03_hu,41000000,0.017341463414634148,Instagram
21savage,132000000,0.019962121212121212,Instagram
333cyj333,65000000,0.05527692307692308,Instagram
3gerardpique,198000000,0.02253030303030303,Instagram
50cent,279000000,0.006362007168458781,Instagram
9gag,583000000,0.0036826758147512862,Instagram
abdevilliers17,172000000,0.0031046511627906975,Instagram
aboflah,72000000,0.11019444444444444,Instagram
achrafhakimi,88000000,0.005909090909090909,Instagram
actorleeminho,289000000,0.09688581314878893,Instagram
actorprabhas,82000000,0.058804878048780485,Instagram
actorsuriya,41000000,0.11982926829268292,Instagram
acunilicali,136000000,0.017191176470588234,Instagram
adamsandler,127000000,0.031173228346456694,Instagram
addisonraee,405000000,0.027160493827160494,Instagram
adele,497000000,0.052313883299798795,Instagram
adidasoriginals,342000000,0.0015321637426900586,Instagram
adinross,26000000,0.21196153846153845,Instagram
aespa_official,83000000,0.13253012048192772,Instagram
agustd,315000000,0.346031746031746,Instagram
aishwaryaraibachchan_arb,10000000,0.2476,Instagram
aislinnderbez,12000000,0.19641666666666666,Instagram
akshaykumar,611000000,0.013343698854337152,Instagram
alejandrospeitzer,51000000,0.061431372549019606,Instagram
aleoliveiracm,83000000,0.028409638554216868,Instagram
alexademie,108000000,0.1111111111111111,Instagram
alexandradaddario,224000000,0.02178125,Instagram
alexis_officia1,134000000,0.01382089552238806,Instagram
alexisren,158000000,0.0006455696202531646,Instagram
alfinetei,211000000,0.00471563981042654,Instagram
aliaabhatt,618000000,0.019417475728155338,Instagram
alidaei,8000000,0.69475,Instagram
aliiiiiiiikarimi8,91000000,0.03612087912087912,Instagram
alishalehmann7,68000000,0.05497058823529412,Instagram
alluarjunonline,176000000,0.09090909090909091,Instagram
alok,27000000,0.09244444444444444,Instagram
alvaromorata,162000000,0.006981481481481482,Instagram
alvaromorte,124000000,0.01971774193548387,Instagram
alvxaro,92000000,0.018434782608695653,Instagram
alwaysramcharan,56000000,0.10657142857142857,Instagram
amadorat,81000000,0.006234567901234568,Instagram
amandacerny,241000000,0.004684647302904564,Instagram
amandamanopo,152000000,0.012473684210526316,Instagram
amarantavp,49000000,0.09873469387755102,Instagram
amauryguichon,67000000,0.05332835820895522,Instagram
amitabhbachchan,30000000,0.0295,Instagram
